2025-05-19 12:05:51.518 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499932", "args": "(14,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "87178291200"}}
2025-05-19 12:05:51.518 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499932", "args": "(15,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "1307674368000"}}
2025-05-19 12:05:51.519 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499932", "args": "(16,)", "kwargs": "{}", "duration_seconds": "0.0150", "result": "20922789888000"}}
2025-05-19 12:05:51.519 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.499416", "args": "(17,)", "kwargs": "{}", "duration_seconds": "0.0310", "result": "355687428096000"}}
2025-05-19 12:05:51.520 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.498772", "args": "(18,)", "kwargs": "{}", "duration_seconds": "0.0310", "result": "6402373705728000"}}
2025-05-19 12:05:51.521 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.497771", "args": "(19,)", "kwargs": "{}", "duration_seconds": "0.0310", "result": "121645100408832000"}}
2025-05-19 12:05:51.521 | INFO     | fatorial | wrapper concluído | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.496771", "args": "(20,)", "kwargs": "{}", "duration_seconds": "0.0310", "result": "2432902008176640000"}}
2025-05-19 12:05:51.522 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.522683", "args": "(30,)", "kwargs": "{}"}}
2025-05-19 12:05:51.522 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.522683", "args": "(29,)", "kwargs": "{}"}}
2025-05-19 12:05:51.524 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.524195", "args": "(28,)", "kwargs": "{}"}}
2025-05-19 12:05:51.524 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.524195", "args": "(27,)", "kwargs": "{}"}}
2025-05-19 12:05:51.525 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.525202", "args": "(26,)", "kwargs": "{}"}}
2025-05-19 12:05:51.525 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.525202", "args": "(25,)", "kwargs": "{}"}}
2025-05-19 12:05:51.526 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.526201", "args": "(24,)", "kwargs": "{}"}}
2025-05-19 12:05:51.527 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.527201", "args": "(23,)", "kwargs": "{}"}}
2025-05-19 12:05:51.527 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.527201", "args": "(22,)", "kwargs": "{}"}}
2025-05-19 12:05:51.528 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.528204", "args": "(21,)", "kwargs": "{}"}}
2025-05-19 12:05:51.528 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.528204", "args": "(20,)", "kwargs": "{}"}}
2025-05-19 12:05:51.528 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.528204", "args": "(19,)", "kwargs": "{}"}}
2025-05-19 12:05:51.529 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.529728", "args": "(18,)", "kwargs": "{}"}}
2025-05-19 12:05:51.530 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.530736", "args": "(17,)", "kwargs": "{}"}}
2025-05-19 12:05:51.531 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.531392", "args": "(16,)", "kwargs": "{}"}}
2025-05-19 12:05:51.532 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.532401", "args": "(15,)", "kwargs": "{}"}}
2025-05-19 12:05:51.533 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.533399", "args": "(14,)", "kwargs": "{}"}}
2025-05-19 12:05:51.533 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.533904", "args": "(13,)", "kwargs": "{}"}}
2025-05-19 12:05:51.534 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.534671", "args": "(12,)", "kwargs": "{}"}}
2025-05-19 12:05:51.535 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.535176", "args": "(11,)", "kwargs": "{}"}}
2025-05-19 12:05:51.535 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.535176", "args": "(10,)", "kwargs": "{}"}}
2025-05-19 12:05:51.536 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.536182", "args": "(9,)", "kwargs": "{}"}}
2025-05-19 12:05:51.536 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.536749", "args": "(8,)", "kwargs": "{}"}}
2025-05-19 12:05:51.536 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.536749", "args": "(7,)", "kwargs": "{}"}}
2025-05-19 12:05:51.537 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.537757", "args": "(6,)", "kwargs": "{}"}}
2025-05-19 12:05:51.538 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.538757", "args": "(5,)", "kwargs": "{}"}}
2025-05-19 12:05:51.538 | INFO     | fatorial | Iniciando wrapper | {"extra": {"function": "wrapper", "module": "__main__", "timestamp": "2025-05-19T15:05:51.538757", "args": "(4,)", "kwargs": "{}"}}
